UTX,"United Technologies Corp",135.52,-0.10999999999999,-0.08%,135.68,135.29,2216000,07/29/19
V,"Visa Inc",183.31,-0.38,-0.21%,184.09,184,13714,"09:34 ET"
VAR,"Varian Medical Systems",121.32,0.55999999999999,+0.46%,121.32,120.25,889000,07/29/19
VFC,"V.F. Corp",88.59,-0.019999999999996,-0.02%,88.59,88.45,1572500,07/29/19
VIAB,"Viacom Inc Cl B",30.94,-0.029999999999998,-0.10%,30.96,30.9,300,"09:33 ET"
VLO,"Valero Energy Corp",83.98,-0.33,-0.39%,84.24,84.31,384,"09:33 ET"
VMC,"Vulcan Materials Company",136.44,-0.36000000000001,-0.26%,136.85,134.57,960900,07/29/19
VNO,"Vornado Realty Trust",64.02,0.099999999999994,+0.16%,64.13,63.2,1255700,07/29/19
VRSK,"Verisk Analytics Inc",152.84,0.33000000000001,+0.22%,153.07,150.29,671000,07/29/19
VRSN,"Verisign Inc",217.01,0.42999999999998,+0.20%,217.36,212.85,793900,07/29/19
VRTX,"Vertex Pharmaceutic",167.06,0.22999999999999,+0.14%,167.36,167.7,291,"09:33 ET"
VTR,"Ventas Inc",67.62,0.59,+0.88%,67.86,65.68,2394200,07/29/19
VZ,"Verizon Communications Inc",57.04,-0.039999999999999,-0.07%,57.13,56.91,638,"09:33 ET"
WAB,"Wabtec Corp",71.91,0.069999999999993,+0.10%,71.91,70.97,1233500,07/29/19
WAT,"Waters Corp",218.32,0.69,+0.32%,218.32,217.29,623800,07/26/19
WBA,"Walgreens Boots Alliance",55.08,0.030000000000001,+0.05%,55.24,55.14,898,"09:34 ET"
WCG,"Wellcare Group",290.7,0.099999999999966,+0.03%,290.7,286.46,480900,07/26/19
WDC,"Western Digital Cp",55.01,-1.49,-2.64%,56.14,55.7,887,"09:33 ET"
WEC,"Wisconsin Energy Corp",86.72,0.060000000000002,+0.07%,86.98,85.83,1351200,07/29/19
WELL,"Welltower Inc",83.7,0.57000000000001,+0.69%,83.9,82.14,1588700,07/29/19
WFC,"Wells Fargo & Company",49.42,0.12,+0.24%,49.46,49.3,16708,"09:33 ET"
WHR,"Whirlpool Corp",148.4,-0.53999999999999,-0.36%,148.55,144.88,630600,07/29/19
WLTW,"Willis Towers Wts",199.37,0.19,+0.10%,199.37,196.09,480600,07/29/19
WM,"Waste Management",118.51,0.010000000000005,+0.01%,118.54,119.1,948,"09:33 ET"
WMB,"Williams Companies",25.13,-1.19,-4.52%,25.2,25.09,20259900,07/29/19
WMT,"Wal-Mart Stores",112.6,-0.42,-0.37%,112.89,113.02,3847,"09:33 ET"
WRK,"Westrock Company",36.61,-0.030000000000001,-0.08%,36.67,36.43,1801800,07/29/19
WU,"Western Union Company",21.12,0.050000000000001,+0.24%,21.17,20.87,4207500,07/29/19
WY,"Weyerhaeuser Company",26.22,0.009999999999998,+0.04%,26.42,26.45,152,"09:34 ET"
WYNN,"Wynn Resorts Ltd",138.19,-1.24,-0.89%,139.08,139,1151,"09:33 ET"
XEC,"Cimarex Energy CO",48.03,-0.2,-0.41%,48.03,47.44,1107800,07/29/19
XEL,"XCEL Energy Inc",60.72,0.21,+0.35%,60.88,60.1,7061100,07/29/19
XLNX,"Xilinx Inc",121.65,0.88000000000001,+0.73%,121.69,121,6955,"09:34 ET"
XOM,"Exxon Mobil Corp",74.96,0.14999999999999,+0.20%,75.01,74.82,636,"09:34 ET"
XRAY,"Dentsply Sirona Inc",55.97,-0.050000000000004,-0.09%,56.02,55.4,1002500,07/29/19
XRX,"Xerox Corp",34.07,-0.36,-1.05%,34.36,34.41,1442800,07/29/19
XYL,"Xylem Inc",81.35,-0.13000000000001,-0.16%,81.51,81.08,569600,07/29/19
YUM,"Yum! Brands",113.45,-0.56999999999999,-0.50%,113.91,113.4,880200,07/29/19
ZBH,"Zimmer Biomet Holdings",135.28,0.78,+0.58%,136.14,136,3620,"09:32 ET"
ZION,"Zions Bancorporation",45.2,0.040000000000006,+0.09%,45.2,43.77,3137300,07/29/19
ZTS,"Zoetis Inc Cl A",114.86,-0.25,-0.22%,115.2,114.46,1574100,07/29/19
